,question,sql
0,What time was the highest for 2nd finishers?,SELECT MAX 2nd FROM table
1,What number is the player that played 1998-2001,SELECT MIN No. FROM table WHERE Years in Toronto = 1998-2001
2,how many times is the fuel propulsion is cng?,SELECT COUNT Fleet Series (Quantity) FROM table WHERE Fuel Propulsion = CNG
3,"What is the number of chapters listed for the fraternity with a headquarters in Austin, Texas?","SELECT MAX Chapters FROM table WHERE Classification = Fraternity AND Headquarters = Austin, Texas"
4,When did the Metrostars have their first Rookie of the Year winner?,SELECT MIN Season FROM table WHERE Team = MetroStars
5,how many times is the model ge40lfr?,SELECT COUNT Manufacturer FROM table WHERE Model = GE40LFR
6,what is the number of smallpox when typhoid fever is 293,SELECT MAX Smallpox FROM table WHERE Typhoid fever = 293
7,What is year of construction of spitallamm?,SELECT MIN Year of construction FROM table WHERE Name = Spitallamm
8,how many times is the fleet series (quantity) is 468-473 (6)?,SELECT COUNT Order Year FROM table WHERE Fleet Series (Quantity) = 468-473 (6)
9,What is the highest Indian population?,SELECT MAX Indian FROM table
10,what is the number of relapsing fever when malaria is 3000,SELECT MIN Relapsing fever FROM table WHERE Malaria = 3000
11,How many number does Fordham school have?,SELECT COUNT No. FROM table WHERE School/Club Team = Fordham
12,How many poles had an average finish of 19.1?,SELECT MAX Poles FROM table WHERE Avg. Finish = 19.1
13,In what year was Lindenwood University founded?,SELECT MIN Founded FROM table WHERE School = Lindenwood University
14,How many players were with the school or club team La Salle?,SELECT COUNT Player FROM table WHERE School/Club Team = La Salle
15,What's the 1991 census of the city of Carpi?,SELECT MAX 1991 Census FROM table WHERE City = Carpi
16,what is the minimum population canada 2011 census with seat of rcm being cowansville,SELECT MIN Population Canada 2011 Census FROM table WHERE Seat of RCM = Cowansville
17,How many wins were there when the money list rank was 183?,SELECT COUNT Wins FROM table WHERE Money list rank = 183
18,"what's the maximum position with winnings  $50,000","SELECT MAX Position FROM table WHERE Winnings = $50,000"
19,What is the the Chinese population for the state that has a Filipino population of 1474707?,SELECT MIN Chinese FROM table WHERE Filipino = 1474707
20,How many teams had a #1 draft pick that won the Rookie of the Year Award?,SELECT COUNT Team FROM table WHERE Draft Pick # = 1
21,What is the highest value of Total Goals?,SELECT MAX Total Goals FROM table
22,How many wins happened in 1983?,SELECT MIN Wins FROM table WHERE Year = 1983
23,what's the total number of singles w-l with doubles w-l of 0–0 and total w-l of 3–1,SELECT COUNT Singles W-L FROM table WHERE Doubles W-L = 0–0 AND Total W-L = 3–1
24,Whatis the number of total goals maximum?,SELECT MAX Total Goals FROM table
25,How many starts did Hendrick motorsports have?,SELECT MIN Starts FROM table WHERE Team(s) = Hendrick Motorsports
26,"How many schools are in Bloomington, IN?","SELECT COUNT Founded FROM table WHERE Location = Bloomington, IN"
27,The record of 7-3 had the largest attendance of what?,SELECT MAX Attendance FROM table WHERE Record = 7-3
28,What was the lowest number of votes Scotland cast?,SELECT MIN Scotland FROM table
29,How many of the schools are designated private/Presbyterian?,SELECT COUNT Location FROM table WHERE Affiliation = Private/Presbyterian
30,What round was Steve Stonebreaker drafted?,SELECT MAX Round FROM table WHERE Player name = Steve Stonebreaker
31,How many votes did Wales cast when Northern England cast 6?,SELECT MIN Wales FROM table WHERE Northern England = 6
32,"How many of the schools listed are in Ames, IA?","SELECT COUNT Primary conference FROM table WHERE Location = Ames, IA"
33,What is the greatest round of overall 83?,SELECT MAX Round FROM table WHERE Overall = 83
